Observation GUID	Påträffad	Taxon ID	Vetenskapligt namn	Svenskt namn	Taxonkategori	Organismgrupp	Rödlistekategori	Observationens skyddsklass	Startdatum	Slutdatum	Starttid	Sluttid	WGS84 decimal (lat)	WGS84 decimal (lon)	SWEREF99TM X (öst)	SWEREF99TM Y (nord)	Geodetiskt datum	Koordinatnoggrannhet (m)	Lokal	Församling	Kommun	Län	Landskap	Observatör	Antal individer	Organismkvantitet	Organismkvantitetsenhet	Stadium/ålder	Kön	Aktivitet (Artportalen)	Verifieringsstatus	Osäker artbestämning	Aldrig funnen	Ej återfunnen	Projekt1 Namn	Dataset namn	Diffuserad	Skyddad
urn:lsid:artportalen.se:sighting:72534696	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2018-07-31	2018-07-31			58.61902	16.35432	578663	6498425	EPSG:4326	100	Djurön, P-plats Bråborg, Ög	Dagsberg	Norrköping	Östergötland	Östergötland	Mats Hjelte				imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:79663941	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2019-08-24	2019-08-24	09:00	10:30	56.58215	16.62937	600082	6272062	EPSG:4326	100	Lucernfält, Sandby, Sandby kyrka, Öl	Sandby	Mörbylånga	Kalmar	Öland	Magnus Larsson	5	5					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:79653629	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2019-08-29	2019-08-29	09:50	12:30	63.78058	20.23622	757902	7083146	EPSG:4326	500	T-vägen,Degernäs, Vb	Umeå socken	Umeå	Västerbotten	Västerbotten	Ralf Norberg	1	1				friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:80889314	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2019-07-29	2019-07-29			59.0698	16.6497	594581	6548993	EPSG:4326	100	Rosenhäll, Srm	Flen	Flen	Södermanland	Södermanland	Jenny Schön	1	1	ex.	imago/adult		födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:80759422	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2019-07-01	2019-07-01	12:00	13:00	59.67905	17.38612	634360	6618084	EPSG:4326	5	Hjälstavikens NR, Upl	Hjälsta	Enköping	Uppsala	Uppland	Pavel Bina	2	2	ex.	imago/adult		friflygande	Ovaliderad	False	False	False	Svensk Dagfjärilsövervakning	Artportalen	False	False
urn:lsid:artportalen.se:sighting:79894983	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2018-06-30	2018-06-30	11:36	11:51	58.437	14.90208	494283	6477368	EPSG:4326	25	Vadstena, Bjälbovägen 63, Ög	Vadstena	Vadstena	Östergötland	Östergötland	Anders Göthberg	1	1	ex.	imago/adult	hane	friflygande	Ovaliderad	False	False	False	Svensk Dagfjärilsövervakning	Artportalen	False	False
urn:lsid:artportalen.se:sighting:79894997	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2018-06-28	2018-06-28	14:46	15:01	58.437	14.90208	494283	6477368	EPSG:4326	25	Vadstena, Bjälbovägen 63, Ög	Vadstena	Vadstena	Östergötland	Östergötland	Anders Göthberg	2	2	ex.	imago/adult	i par	friflygande	Ovaliderad	False	False	False	Svensk Dagfjärilsövervakning	Artportalen	False	False
urn:lsid:artportalen.se:sighting:79645688	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2019-08-27	2019-08-27	13:00	15:30	57.50539	11.9876	319526	6377649	EPSG:4326	500	Kyrkobyn, Hl	Släp	Kungsbacka	Halland	Halland	Uno Unger	1	1		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:79772957	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2019-09-04	2019-09-04			57.40597	15.84934	551031	6362897	EPSG:4326	387	Korridor öster om järnvägen, Hagelsrum, Målilla, Sm	Målilla	Hultsfred	Kalmar	Småland	Mattis Arveström	1	1					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:79417427	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2019-08-12	2019-08-12			58.68474	17.01748	616955	6506708	EPSG:4326	25	Basttorpsskogen vid Basttorpsvägen, Srm	Oxelösund	Oxelösund	Södermanland	Södermanland	Hans Rydberg							Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:80072738	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2019-09-13	2019-09-13			56.84064	16.66328	601467	6300880	EPSG:4326	100	Svarteberga, Öl	Räpplinge	Borgholm	Kalmar	Öland	Bert Gustafsson							Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:80354023	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2019-07-03	2019-07-03			58.99851	15.83796	548144	6540187	EPSG:4326	75	Lörtorp S 425 m, Ög	Skedevi	Finspång	Östergötland	Östergötland	Jan-Erik Axelsson, Mirjam Ideström				imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:77115611	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2018-09-08	2018-09-08			59.66415	17.6555	649590	6617002	EPSG:4326	1000	Hagbyholm, Upl	Haga	Sigtuna	Stockholm	Uppland	Klara Helander, Anders Helander				imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:77295459	True	201041	Pieris napi	rapsfjäril	species	Fjärilar	LC	1	2019-04-22	2019-04-22	13:00	13:00	55.66182	13.53372	407758	6169417	EPSG:4326	100	Vombs Vattenverk, Sk	Vomb	Lund	Skåne	Skåne	Anders Carlberg, Håkan Persson	1	1		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
