Observation GUID	Påträffad	Taxon ID	Vetenskapligt namn	Svenskt namn	Taxonkategori	Organismgrupp	Rödlistekategori	Observationens skyddsklass	Startdatum	Slutdatum	Starttid	Sluttid	WGS84 decimal (lat)	WGS84 decimal (lon)	SWEREF99TM X (öst)	SWEREF99TM Y (nord)	Geodetiskt datum	Koordinatnoggrannhet (m)	Lokal	Församling	Kommun	Län	Landskap	Observatör	Antal individer	Organismkvantitet	Organismkvantitetsenhet	Stadium/ålder	Kön	Aktivitet (Artportalen)	Verifieringsstatus	Osäker artbestämning	Aldrig funnen	Ej återfunnen	Projekt1 Namn	Dataset namn	Diffuserad	Skyddad
urn:lsid:artportalen.se:sighting:72510722	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2018-08-01	2018-08-01	08:30	12:00	63.78058	20.23622	757902	7083146	EPSG:4326	500	T-vägen,Degernäs, Vb	Umeå socken	Umeå	Västerbotten	Västerbotten	Ralf Norberg	1	1				friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:72535426	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2018-08-02	2018-08-02	18:30	20:10	59.11082	15.1138	506517	6552397	EPSG:4326	500	Björka lertag, Björka lertag, Nrk	Kumla	Kumla	Örebro	Närke	Jonas Engzell	15	15					Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:79925015	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2019-08-24	2019-08-24	13:00	14:40	56.57647	16.57947	597032	6271359	EPSG:4326	150	Dröstorps alvar, Öl	Sandby	Mörbylånga	Kalmar	Öland	Gabriel Tjernberg	3	3		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:79526744	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2019-08-21	2019-08-21			57.82066	16.31748	578261	6409506	EPSG:4326	200	Hult, Sm	Hallingeberg	Västervik	Kalmar	Småland	Sven Halling	3	3	ex.	imago/adult		födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:79512576	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2019-05-23	2019-05-23	14:20	15:45	56.21753	16.41002	587442	6231185	EPSG:4326	250	Lundparkeringen, Södra lunden, Öl	Ås	Mörbylånga	Kalmar	Öland	Leif Frederiksen	1	1		imago/adult		friflygande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:80680369	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2019-08-16	2019-08-16			59.47698	18.0744	674142	6597192	EPSG:4326	500	Kraftledningsgata 4, Täby, Upl	Täby	Täby	Stockholm	Uppland	Petter Andersson, Marlijn Sterenborg	1	1		imago/adult			Ovaliderad	False	False	False	Insektsinventeringar i artrika kraftledningsgator, Täby 2019	Artportalen	False	False
urn:lsid:artportalen.se:sighting:81039849	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2019-07-14	2019-07-14			59.85332	17.6439	648097	6638032	EPSG:4326	200	Uppsala, Fyris, Upl	Uppsala	Uppsala	Uppsala	Uppland	Michael Taylor	3	3	ex.	imago/adult			Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:79544174	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2019-08-22	2019-08-22	04:30	10:45	58.46492	15.54995	532084	6480604	EPSG:4326	500	Parkeringen, Nybro., Svartåmynningens naturreservat, Ög	Kaga	Linköping	Östergötland	Östergötland	Berndth Gustafsson	2	2		imago/adult		födosökande	Ovaliderad	False	False	False		Artportalen	False	False
urn:lsid:artportalen.se:sighting:79894925	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2018-07-23	2018-07-23	14:43	14:58	58.437	14.90208	494283	6477368	EPSG:4326	25	Vadstena, Bjälbovägen 63, Ög	Vadstena	Vadstena	Östergötland	Östergötland	Anders Göthberg	3	3	ex.	imago/adult		friflygande	Ovaliderad	False	False	False	Svensk Dagfjärilsövervakning	Artportalen	False	False
urn:lsid:artportalen.se:sighting:79894979	True	201040	Pieris rapae	rovfjäril	species	Fjärilar	LC	1	2018-07-02	2018-07-02	12:27	12:42	58.437	14.90208	494283	6477368	EPSG:4326	25	Vadstena, Bjälbovägen 63, Ög	Vadstena	Vadstena	Östergötland	Östergötland	Anders Göthberg	4	4	ex.	imago/adult	hona	friflygande	Ovaliderad	False	False	False	Svensk Dagfjärilsövervakning	Artportalen	False	False
