Id,Artnamn,Vetenskapligt namn,Antal,Ålder-Stadium,Kön,Aktivitet,Ost,Nord,Startdatum,Slutdatum,Publik kommentar,Biotop-beskrivning
127692488,Rovfjäril,Pieris rapae,4,imago/adult, , ,1504020,6227110,2025-08-18,2025-08-18,,
127098958,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1501230,6224270,2025-07-23,2025-07-23,,
127090147,Rovfjäril,Pieris rapae,1,imago/adult, , ,1588888,6618926,2025-07-20,2025-07-20,,
128028742,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1501230,6224270,2025-08-28,2025-08-28,,
126896586,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1453590,6600280,2025-07-24,2025-07-24,,
125704437,Rovfjäril,Pieris rapae,2, , , ,1627788,6589610,2025-05-19,2025-05-19,,
128859151,Rovfjäril,Pieris rapae,4, , ,födosökande,1304271,6260722,2025-10-01,2025-10-01,,
125675381,Rovfjäril,Pieris rapae,2, , ,friflygande,1315529,6244088,2025-05-26,2025-05-26,,
127330226,Rovfjäril,Pieris rapae,noterad, , ,födosökande,1317546,6239373,2025-08-08,2025-08-08,,
128348225,Rovfjäril,Pieris rapae,10, , ,friflygande,1390272,6141401,2025-09-08,2025-09-08,,
124745405,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1315080,6235687,2025-05-01,2025-05-01,,
128424571,Rovfjäril,Pieris rapae,6, , ,friflygande,1308844,6264347,2025-09-13,2025-09-13,,
127422667,Rovfjäril,Pieris rapae,2, , ,friflygande,1403538,6201723,2025-07-18,2025-07-18,,
127632412,Rovfjäril,Pieris rapae,3, , ,parning/parningsceremonier,1398782,6223265,2025-07-18,2025-07-18,,
127498767,Rovfjäril,Pieris rapae,2, , , ,1330922,6244851,2025-08-13,2025-08-13,,
124744804,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1316437,6237382,2025-05-01,2025-05-01,,
128348165,Rovfjäril,Pieris rapae,10, , ,friflygande,1389530,6141430,2025-09-08,2025-09-08,,
124723957,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1623660,6536920,2025-05-03,2025-05-03,,
127422916,Rovfjäril,Pieris rapae,1, ,hane,födosökande,1735718,7335178,2025-08-12,2025-08-12,,
127609453,Rovfjäril,Pieris rapae,1,imago/adult,hane, ,1729937,7084568,2025-08-14,2025-08-14,,
126818052,Rovfjäril,Pieris rapae,1,imago/adult, , ,1482463,6579122,2025-07-21,2025-07-21,,
126840745,Rovfjäril,Pieris rapae,2,imago/adult, , ,1482559,6579725,2025-07-22,2025-07-22,,
126842099,Rovfjäril,Pieris rapae,3,imago/adult, , ,1482463,6579122,2025-07-22,2025-07-22,,
127003723,Rovfjäril,Pieris rapae,1,imago/adult, , ,1482463,6579122,2025-07-26,2025-07-26,,
130248378,Rovfjäril,Pieris rapae,1,imago/adult,,friflygande,1535546,6631971,2025-08-12,2025-08-12,,
125575548,Rovfjäril,Pieris rapae,1, , , ,1311568,6317437,2025-05-31,2025-05-31,,
127052751,Rovfjäril,Pieris rapae,1, , , ,1297349,6313979,2025-07-28,2025-07-28,,
127108054,Rovfjäril,Pieris rapae,2, , , ,1297349,6313979,2025-08-02,2025-08-02,,
125811092,Rovfjäril,Pieris rapae,noterad, , , ,1372270,6589823,2025-06-08,2025-06-08,,
126100925,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1473820,6549490,2025-06-20,2025-06-20,,
128282603,Rovfjäril,Pieris rapae,1,imago/adult, , ,1623305,6533302,2025-09-07,2025-09-07,,
128634745,Rovfjäril,Pieris rapae,1,imago/adult, , ,1623305,6533302,2025-09-23,2025-09-23,,
125515059,Rovfjäril,Pieris rapae,2,imago/adult, ,friflygande,1607174,6665453,2025-05-29,2025-05-29,,
124469170,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1624848,6587266,2025-04-26,2025-04-26,,
127128735,Rovfjäril,Pieris rapae,6,imago/adult, ,födosökande,1593213,6625236,2025-08-03,2025-08-03,,
128289552,Rovfjäril,Pieris rapae,noterad,imago/adult, ,födosökande,1324110,6225890,2025-09-06,2025-09-06,,
127162044,Rovfjäril,Pieris rapae,5,imago/adult, ,födosökande,1315380,6208300,2025-08-04,2025-08-04,,
129567183,Rovfjäril,Pieris rapae,1, , ,friflygande,1321571,6221307,2025-11-06,2025-11-06,,
126726285,Rovfjäril,Pieris rapae,noterad,imago/adult, , ,1334200,6226920,2025-07-17,2025-07-17,,
123556118,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1330200,6227730,2025-03-28,2025-03-28,PÅ vårlök och svalört,
126556425,Rovfjäril,Pieris rapae,noterad,imago/adult, ,födosökande,1342300,6211620,2025-07-09,2025-07-09,,
126797684,Rovfjäril,Pieris rapae,noterad,imago/adult, ,födosökande,1320647,6222028,2025-07-20,2025-07-20,,
127231734,Rovfjäril,Pieris rapae,10,imago/adult, , ,1320621,6221548,2025-08-05,2025-08-05,,
127016804,Rovfjäril,Pieris rapae,noterad,imago/adult, ,födosökande,1348300,6216620,2025-07-29,2025-07-29,,
127607000,Rovfjäril,Pieris rapae,noterad,imago/adult, ,födosökande,1313514,6210440,2025-08-15,2025-08-15,,
127820280,Rovfjäril,Pieris rapae,15,imago/adult, , ,1300190,6227282,2025-08-25,2025-08-25,,
126938815,Rovfjäril,Pieris rapae,noterad,imago/adult, , ,1252703,6405621,2025-07-26,2025-07-26,,
126938887,Rovfjäril,Pieris rapae,noterad,imago/adult, , ,1252591,6405768,2025-07-26,2025-07-26,,
126939009,Rovfjäril,Pieris rapae,noterad,imago/adult, , ,1252702,6407230,2025-07-26,2025-07-26,,
125635407,Rovfjäril,Pieris rapae,1,imago/adult,hona,friflygande,1548810,6602670,2025-06-02,2025-06-02,Två svarta prickar på vingarnas ovansida gör att det bör ha varit en hona. Besökte bland annat blommande stäppsalvia. ,Blomrabatt på vår tomt
127054378,Rovfjäril,Pieris rapae,2,imago/adult, ,födosökande,1548810,6602670,2025-07-31,2025-07-31,På kungsmynta,"Tomtmark, på kungsmynta"
126937015,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1548810,6602670,2025-07-26,2025-07-26,På kungsmynta,"Tomtmark, på kungsmynta"
127762580,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1548810,6602670,2025-08-23,2025-08-23,,"Tomtmark, på anisisop"
126958324,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1548810,6602670,2025-07-27,2025-07-27,"Influgen i huset, infångad och utsläppt",Inomhus
126908734,Rovfjäril,Pieris rapae,3,imago/adult, ,födosökande,1548810,6602670,2025-07-25,2025-07-25,På kungsmynta,Tomtmark
125107002,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1466709,6569804,2025-05-15,2025-05-15,,
128694531,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1300021,6227500,2025-09-25,2025-09-25,,
128315552,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1310192,6142739,2025-09-06,2025-09-06,,
126925293,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1485357,6482619,2025-07-26,2025-07-26,,
128356868,Rovfjäril,Pieris rapae,noterad, , , ,1390370,6141388,2025-09-10,2025-09-10,,
128355403,Rovfjäril,Pieris rapae,noterad, , , ,1389531,6141436,2025-09-10,2025-09-10,,
128381032,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1541320,6293960,2025-09-08,2025-09-08,,
126974883,Rovfjäril,Pieris rapae,5,imago/adult, ,friflygande,1324658,6182577,2025-07-28,2025-07-28,minst,
126976009,Rovfjäril,Pieris rapae,5,imago/adult, ,friflygande,1324751,6182330,2025-07-28,2025-07-28,minst,
127832275,Rovfjäril,Pieris rapae,1,imago/adult, , ,1569004,6584879,2025-08-26,2025-08-26,,
126759886,Rovfjäril,Pieris rapae,1,imago/adult,,,1577320,6588539,2025-07-19,2025-07-19,,
124492037,Rovfjäril,Pieris rapae,1, ,hane,födosökande,1599990,6631990,2025-04-24,2025-04-24,På Maskros,
126814471,Rovfjäril,Pieris rapae,noterad,imago/adult, , ,1446420,6394090,2025-07-21,2025-07-21,,
127644241,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1258625,6415140,2025-08-17,2025-08-17,minst 1 ex,
126807057,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1268900,6408740,2025-07-21,2025-07-21,på åkertistel,
126857367,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1257100,6407700,2025-07-23,2025-07-23,,
128373957,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1264042,6400697,2025-09-10,2025-09-10,,
127008025,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1268900,6408740,2025-07-29,2025-07-29,minst 1 ex,
127294526,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1266320,6415830,2025-08-07,2025-08-07,,
127073188,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1265420,6408840,2025-08-01,2025-08-01,,
126910811,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1257100,6407700,2025-07-25,2025-07-25,,
128207830,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1261797,6409808,2025-09-04,2025-09-04,,
127662338,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1261797,6409808,2025-08-18,2025-08-18,på ängen med stora bestånd av ängsvädd,
127943021,Rovfjäril,Pieris rapae,1,,,,1639460,6376950,2025-08-24,2025-08-24,,
127942985,Rovfjäril,Pieris rapae,2,,,,1639460,6376950,2025-08-25,2025-08-25,,
127943126,Rovfjäril,Pieris rapae,2,,,,1639460,6376950,2025-08-19,2025-08-19,,
128480248,Rovfjäril,Pieris rapae,2,,,,1639460,6376950,2025-09-05,2025-09-05,,
128187526,Rovfjäril,Pieris rapae,2,,,,1639460,6376950,2025-09-03,2025-09-03,,
128134735,Rovfjäril,Pieris rapae,4,,,,1639460,6376950,2025-08-28,2025-08-28,,
128480301,Rovfjäril,Pieris rapae,4,,,,1639460,6376950,2025-09-04,2025-09-04,,
128480125,Rovfjäril,Pieris rapae,2,,,,1639460,6376950,2025-09-09,2025-09-09,,
127947319,Rovfjäril,Pieris rapae,1,,,,1639460,6376950,2025-08-27,2025-08-27,,
126596948,Rovfjäril,Pieris rapae,3,imago/adult, ,friflygande,1477510,6432610,2025-07-09,2025-07-09,,
128074753,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1477510,6432610,2025-08-28,2025-08-28,,
126859161,Rovfjäril,Pieris rapae,4,imago/adult, ,födosökande,1477510,6432610,2025-07-17,2025-07-17,,
128692557,Rovfjäril,Pieris rapae,1,imago/adult, ,friflygande,1477510,6432610,2025-09-21,2025-09-21,,
126860531,Rovfjäril,Pieris rapae,3,imago/adult, ,födosökande,1485370,6477020,2025-07-22,2025-07-22,,
127714875,Rovfjäril,Pieris rapae,30,imago/adult, ,födosökande,1279492,6353084,2025-08-21,2025-08-21,,
124780479,Rovfjäril,Pieris rapae,1,imago/adult, ,födosökande,1279492,6353084,2025-05-01,2025-05-01,,
126452062,Rovfjäril,Pieris rapae,10,imago/adult, ,friflygande,1279492,6353084,2025-07-06,2025-07-06,,
128074755,Rovfjäril,Pieris rapae,10,imago/adult, ,födosökande,1279492,6353084,2025-08-30,2025-08-30,,
124638465,Rovfjäril,Pieris rapae,1,,,,1312300,6236388,2025-05-01,2025-05-01,,
128215310,Rovfjäril,Pieris rapae,1,,,,1337641,6238332,2025-09-04,2025-09-04,,
124370199,Rovfjäril,Pieris rapae,10,,,,1357316,6176994,2025-04-23,2025-04-23,,
126611910,Rovfjäril,Pieris rapae,1,,,,1335648,6240256,2025-07-12,2025-07-12,,
124507297,Rovfjäril,Pieris rapae,1,,,,1337313,6242075,2025-04-27,2025-04-27,,
125665352,Rovfjäril,Pieris rapae,1,,,,1326086,6252822,2025-06-03,2025-06-03,,
125241404,Rovfjäril,Pieris rapae,3,,,,1310516,6237605,2025-05-19,2025-05-19,,
127032756,Rovfjäril,Pieris rapae,2,,,,1337641,6238332,2025-07-30,2025-07-30,,
126862101,Rovfjäril,Pieris rapae,1,,,,1337641,6238332,2025-07-23,2025-07-23,,
125554932,Rovfjäril,Pieris rapae,2,,,,1337641,6238332,2025-05-29,2025-05-29,,
127082767,Rovfjäril,Pieris rapae,4,,,,1296592,6240873,2025-08-01,2025-08-01,,
127450147,Rovfjäril,Pieris rapae,noterad,,,,1491239,6248940,2025-08-13,2025-08-13,,
125096016,Rovfjäril,Pieris rapae,noterad,,,,1491239,6248940,2025-05-14,2025-05-14,,
